2025-12-05 10:50:49,888 - Trying to connect to 192.168.1.2:5555
2025-12-05 10:50:53,608 - Trying to connect to 192.168.1.2:5555
2025-12-05 13:00:32,717 - Trying to connect to 222:5555
2025-12-05 17:43:59,774 - zerotier-cli failed: [WinError 2] The system cannot find the file specified
2025-12-05 17:44:00,030 - Found ZeroTier IP (Windows): 10.147.19.47 on Description . . . . . . . . . . .  ZeroTier Virtual Port
2025-12-05 17:44:00,031 - psutil check failed: No module named 'psutil'
2025-12-05 17:44:00,031 - All detected ZeroTier IPs: ['10.147.19.47']
2025-12-05 17:44:00,031 - Selected ZeroTier IP (any range): 10.147.19.47
2025-12-05 17:44:33,938 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:34,441 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:34,946 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:35,450 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:35,954 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:36,458 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:36,961 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:37,465 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:37,969 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:38,474 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:38,978 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:39,481 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:39,985 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:40,488 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:40,991 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:41,498 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:42,007 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:42,512 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:43,017 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:43,523 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
